YCbCr,IDCT,Dequant,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,time_mean,time_std,time_total,PSNR,SSIM
formula,2d,float,6.953698,6.942572,6.951080,7.040936,7.004028,6.929829,6.959517,6.958499,6.952988,7.029353,6.972250,0.036309,69.722549,38.15,0.9404
formula,2d,int,7.144047,7.088495,7.041586,7.084105,7.001251,7.009788,7.009339,7.012583,7.019297,7.105743,7.051623,0.047572,70.516287,38.15,0.9404
formula,two1d,float,0.954269,0.945115,0.944969,0.962584,0.934375,0.930481,0.931844,0.931209,0.932511,0.933439,0.940080,0.010628,9.400847,38.15,0.9404
formula,two1d,int,0.974440,0.958963,0.932124,0.928711,0.924570,0.930673,0.932820,0.929999,0.935161,0.923076,0.937054,0.015604,9.370587,38.15,0.9404
formula,block,float,0.737245,0.736808,0.727144,0.723433,0.725369,0.729105,0.720870,0.724264,0.719592,0.720853,0.726468,0.005966,7.264737,38.15,0.9404
formula,block,int,0.751913,0.742251,0.736786,0.730494,0.729769,0.737909,0.738473,0.736648,0.742289,0.740655,0.738719,0.005996,7.387239,38.15,0.9404
table,2d,float,6.957898,6.886879,6.894752,6.862705,6.890499,6.864533,6.914426,6.847913,6.937399,6.865201,6.892221,0.033491,68.922256,37.54,0.9381
table,2d,int,6.924439,6.959890,7.047670,6.983508,6.926356,6.951888,6.948601,6.922141,6.918815,6.941158,6.952447,0.037074,69.524510,37.54,0.9381
table,two1d,float,0.971573,0.984858,0.952622,0.944493,0.943150,0.945527,0.944074,0.954632,0.946194,0.944011,0.953113,0.013396,9.531178,37.54,0.9381
table,two1d,int,1.008907,0.990227,1.014429,0.934160,0.926099,0.931721,0.928864,0.928545,0.933905,0.930018,0.952687,0.034480,9.526922,37.54,0.9381
table,block,float,0.743913,0.742922,0.730409,0.725321,0.727731,0.726476,0.727541,0.725192,0.735126,0.732422,0.731705,0.006576,7.317098,37.54,0.9381
table,block,int,0.742751,0.745314,0.743836,0.727097,0.733574,0.732155,0.726322,0.733945,0.733721,0.723349,0.734206,0.007243,7.342109,37.54,0.9381
