Image,YCbCr,IDCT,Dequant,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,time_mean,time_std,time_total,PSNR,SSIM
lena,formula,2d,float,0.610815,0.611101,0.609334,0.607049,0.607800,0.607529,0.607811,0.608266,0.607500,0.606419,0.608362,0.001484,6.083659,38.15,0.9404
lena,formula,2d,int,0.625029,0.622777,0.621891,0.620561,0.620726,0.620603,0.621792,0.620949,0.621470,0.619616,0.621541,0.001430,6.215450,38.15,0.9404
lena,formula,two1d,float,1.382556,1.384679,1.374938,1.378357,1.381255,1.391900,1.378890,1.384542,1.392596,1.382729,1.383244,0.005317,13.832480,38.15,0.9404
lena,formula,two1d,int,1.407495,1.413996,1.401197,1.390854,1.413851,1.392276,1.406925,1.402239,1.406967,1.400911,1.403671,0.007458,14.036750,38.15,0.9404
lena,formula,block,float,0.617095,0.613104,0.611757,0.610801,0.614127,0.613142,0.611810,0.610239,0.611915,0.610935,0.612493,0.001907,6.124963,38.15,0.9404
lena,formula,block,int,0.613946,0.608766,0.608631,0.609138,0.609381,0.607842,0.610190,0.608904,0.610105,0.607672,0.609458,0.001688,6.094612,38.15,0.9404
lena,table,2d,float,0.611050,0.606840,0.608183,0.607284,0.607809,0.607790,0.608202,0.607311,0.608372,0.607359,0.608020,0.001111,6.080229,37.54,0.9381
lena,table,2d,int,0.615885,0.614809,0.614421,0.613260,0.613459,0.612374,0.614757,0.613368,0.613797,0.614106,0.614023,0.000943,6.140269,37.54,0.9381
lena,table,two1d,float,1.392028,1.395339,1.393945,1.394752,1.390592,1.390500,1.388390,1.390292,1.396131,1.392866,1.392484,0.002412,13.924872,37.54,0.9381
lena,table,two1d,int,1.450604,1.440178,1.450515,1.445242,1.447146,1.446413,1.446940,1.448731,1.446341,1.444678,1.446679,0.002883,14.466826,37.54,0.9381
lena,table,block,float,0.613138,0.611608,0.610583,0.613009,0.611280,0.610085,0.611489,0.612485,0.612270,0.611766,0.611771,0.000936,6.117745,37.54,0.9381
lena,table,block,int,0.613954,0.612182,0.610874,0.610156,0.612699,0.610720,0.612208,0.610971,0.609823,0.611585,0.611517,0.001197,6.115205,37.54,0.9381
